fecha,forecast,limite_inferior,limite_superior
2020-09-23,39812,-247,79871
2020-09-24,38300,-5683,82282
2020-09-25,34970,-11119,81058
2020-09-26,34838,-13020,82697
2020-09-27,27627,-21892,77146
2020-09-28,30853,-20265,81970
2020-09-29,32616,-20049,85282
2020-09-30,38556,-16587,93699
2020-10-01,37493,-19483,94470
2020-10-02,34208,-24448,92864
2020-10-03,33977,-26293,94247
2020-10-04,26840,-34999,88678
2020-10-05,29962,-33405,93330
2020-10-06,31685,-33174,96545
2020-10-07,37665,-29907,105236
2020-10-08,36584,-32891,106060
2020-10-09,33297,-37906,104501
2020-10-10,33070,-39797,105937
2020-10-11,25930,-48559,100419
2020-10-12,29057,-47018,105132
2020-10-13,30781,-46847,108410
2020-10-14,36759,-43533,117052
2020-10-15,35679,-46551,117910
2020-10-16,32392,-51616,116400
2020-10-17,32165,-53562,117892
2020-10-18,25025,-62383,112433
2020-10-19,28152,-60904,117208
2020-10-20,29876,-60798,120550
2020-10-21,35854,-57477,129185
2020-10-22,34774,-60541,130090
