fecha,total_articulos,ingresos_totales
2018-09-23,52230,1593.7831
2018-09-24,45984,1407.6096
2018-09-25,43857,1322.8798
2018-09-26,48224,1434.2045
2018-09-27,44261,1355.4983
2018-09-28,66900,2040.207
2018-09-29,141700,4071.3813
2018-09-30,38043,1165.0302
2018-10-01,38677,1201.5782
2018-10-02,39932,1254.0746
2018-10-03,38387,1173.1744
2018-10-04,38103,1188.8597
2018-10-05,33485,1009.3239
2018-10-06,37012,1089.7947
2018-10-07,32647,1010.43744
2018-10-08,28241,899.0806
2018-10-09,38581,1234.891
2018-10-10,63750,1890.0405
2018-10-11,58802,1702.1713
2018-10-12,53530,1517.4412
2018-10-13,53008,1445.4382
2018-10-14,36426,1103.067
2018-10-15,33624,1061.7233
2018-10-16,48481,1566.3839
2018-10-17,59231,1621.2567
2018-10-18,46586,1314.0367
2018-10-19,39033,1118.8254
2018-10-20,40517,1178.4868
2018-10-21,37437,1065.6326
2018-10-22,43546,1286.061
2018-10-23,49740,1469.8397
2018-10-24,64499,1841.5692
2018-10-25,54487,1573.9033
2018-10-26,55390,1615.2642
2018-10-27,50649,1488.458
2018-10-28,56271,1709.0215
2018-10-29,45952,1383.4143
2018-10-30,42392,1344.075
2018-10-31,38624,1227.4921
2018-11-01,41119,1378.1486
2018-11-02,36103,1183.8859
2018-11-03,39899,1285.208
2018-11-04,32709,1099.9753
2018-11-05,30346,1017.4861
2018-11-06,33798,1126.0867
2018-11-07,35299,1190.7924
2018-11-08,32002,1039.3256
2018-11-09,35259,1130.9551
2018-11-10,34598,1085.2013
2018-11-11,44899,1381.8329
2018-11-12,25777,851.4892
2018-11-13,28740,939.8086
2018-11-14,35108,1170.0966
2018-11-15,38619,1215.8467
2018-11-16,38361,1178.6357
2018-11-17,38817,1204.4526
2018-11-18,35871,1126.963
2018-11-19,32984,1107.3145
2018-11-20,40454,1312.936
2018-11-21,43132,1272.428
2018-11-22,56174,1596.7908
2018-11-23,142018,3891.9395
2018-11-24,80235,2145.9553
2018-11-25,59322,1596.1478
2018-11-26,56913,1512.9443
2018-11-27,30127,979.3971
2018-11-28,29276,951.0722
2018-11-29,32096,1041.0372
2018-11-30,30564,986.83563
2018-12-01,34101,1019.3578
2018-12-02,26579,843.51715
2018-12-03,27155,881.7208
2018-12-04,31834,1027.0818
2018-12-05,35693,1094.7698
2018-12-06,37284,1110.2039
2018-12-07,33316,985.9137
2018-12-08,37420,1070.639
2018-12-09,34622,1075.048
2018-12-10,30431,967.00195
2018-12-11,31051,1001.0527
2018-12-12,39436,1244.5813
2018-12-13,33145,1050.1932
2018-12-14,31201,959.15814
2018-12-15,36258,1108.5164
2018-12-16,32374,1021.5837
2018-12-17,34947,1049.06
2018-12-18,39247,1149.0447
2018-12-19,46619,1302.5753
2018-12-20,61022,1573.9807
2018-12-21,56260,1384.4911
2018-12-22,58623,1427.0625
2018-12-23,43155,1065.1885
2018-12-24,38362,924.4655
2018-12-25,14799,412.6921
2018-12-26,24989,656.7592
2018-12-27,52976,1355.3184
2018-12-28,46132,1205.1967
2018-12-29,42402,1096.8026
2018-12-30,33491,866.51294
2018-12-31,23903,603.0253
2019-01-01,18145,512.1224
2019-01-02,44252,1141.3896
2019-01-03,47744,1224.3121
2019-01-04,43545,1124.94
2019-01-05,44536,1144.3483
2019-01-06,37885,1001.2752
2019-01-07,34484,944.5013
2019-01-08,49228,1365.7051
2019-01-09,53309,1443.5342
2019-01-10,53180,1407.7509
2019-01-11,42656,1114.8777
2019-01-12,44825,1164.6885
2019-01-13,39612,1077.2539
2019-01-14,35715,962.23285
2019-01-15,35037,937.7501
2019-01-16,46962,1268.9475
2019-01-17,36013,954.61163
2019-01-18,35741,948.39746
2019-01-19,38720,1006.8851
2019-01-20,34356,946.6046
2019-01-21,34553,955.14856
2019-01-22,36878,1003.4703
2019-01-23,40120,1061.1814
2019-01-24,42320,1097.529
2019-01-25,46825,1180.5078
2019-01-26,48158,1217.4197
2019-01-27,40605,1079.4427
2019-01-28,35705,950.27045
2019-01-29,44990,1163.3467
2019-01-30,39026,1019.9517
2019-01-31,38346,1029.585
2019-02-01,41584,1094.2214
2019-02-02,43901,1139.723
2019-02-03,45259,1198.272
2019-02-04,33631,924.2031
2019-02-05,35743,996.0708
2019-02-06,37340,1038.6576
2019-02-07,39423,1084.7439
2019-02-08,36732,1014.0703
2019-02-09,41220,1112.5898
2019-02-10,36967,1062.4702
2019-02-11,32624,919.1648
2019-02-12,34629,987.69354
2019-02-13,33441,932.5161
2019-02-14,33707,894.8379
2019-02-15,37835,1048.5338
2019-02-16,43012,1192.5398
2019-02-17,33705,964.1225
2019-02-18,31761,900.15625
2019-02-19,33761,954.63824
2019-02-20,43688,1194.837
2019-02-21,58728,1497.1819
2019-02-22,64026,1620.9459
2019-02-23,75668,1883.8647
2019-02-24,34618,975.59467
2019-02-25,39670,1124.5883
2019-02-26,43079,1232.21
2019-02-27,45506,1273.2129
2019-02-28,41154,1166.561
2019-03-01,42145,1172.5515
2019-03-02,40748,1112.818
2019-03-03,35154,1004.47253
2019-03-04,30308,905.87756
2019-03-05,34652,1022.0428
2019-03-06,49580,1398.3867
2019-03-07,44575,1256.2394
2019-03-08,39791,1124.1033
2019-03-09,40750,1145.8108
2019-03-10,39697,1137.2996
2019-03-11,35607,1042.212
2019-03-12,37488,1097.7771
2019-03-13,45230,1295.0294
2019-03-14,39055,1112.1995
2019-03-15,37282,1056.124
2019-03-16,51837,1421.5574
2019-03-17,39506,1131.573
2019-03-18,31074,891.48267
2019-03-19,35556,1044.3345
2019-03-20,41505,1239.9249
2019-03-21,41778,1402.4353
2019-03-22,43836,1295.3228
2019-03-23,44283,1265.4963
2019-03-24,40788,1205.881
2019-03-25,37437,1141.7003
2019-03-26,47173,1438.564
2019-03-27,49139,1497.0842
2019-03-28,47074,1438.5028
2019-03-29,47539,1421.0365
2019-03-30,49560,1441.8075
2019-03-31,46603,1389.3723
2019-04-01,43981,1342.9219
2019-04-02,42351,1290.3167
2019-04-03,44936,1360.2898
2019-04-04,42650,1290.2533
2019-04-05,40220,1186.0803
2019-04-06,119601,3100.9048
2019-04-07,40873,1176.9502
2019-04-08,34419,1029.069
2019-04-09,39942,1214.9952
2019-04-10,43708,1298.5104
2019-04-11,41695,1375.8491
2019-04-12,41923,1255.2261
2019-04-13,44852,1288.463
2019-04-14,42322,1290.6523
2019-04-15,41713,1269.7375
2019-04-16,44930,1370.956
2019-04-17,45191,1305.7717
2019-04-18,47593,1364.7494
2019-04-19,53188,1459.773
2019-04-20,55558,1503.6064
2019-04-21,32616,1000.21124
2019-04-22,45237,1313.7511
2019-04-23,61860,1775.1011
2019-04-24,80711,2223.121
2019-04-25,63624,1786.2594
2019-04-26,54735,1536.4281
2019-04-27,29402,874.5827
2019-04-28,44907,1317.4583
2019-04-29,48190,1404.148
2019-04-30,63526,1818.8496
2019-05-01,72875,2081.6301
